"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"DOK3",-1.2792364886371,-2.24368301306106,-2.36353852306135,0.0363833674865318,0.584722696317205,-3.76738262088374
"LOC100288594",-2.13579737599944,-5.69074945553904,-2.29636295480395,0.0410525075698977,0.611827755422135,-3.76831314360879
"TMEM177",-1.90514847285206,-5.7472825826427,-2.27127583357852,0.0429393674137638,0.620796514591516,-3.77210442051127
"LOC100287740",2.35491821795195,-5.20222839059954,2.29082011463093,0.0414624430602348,0.61363926207978,-3.77273897064385
"IL16",1.60795713419814,-2.17772455521816,2.31139561429569,0.0399601750913168,0.608652217323453,-3.7729176160735
"C14orf139",1.21622680786124,-6.31733236833491,2.3457215234679,0.0375694609674999,0.593138511282235,-3.77350582962621
"LOC646890",1.201024975894,-3.69460708686328,2.23593431490522,0.0457385197156856,0.633087959353596,-3.7739261616819
"FBXO24",2.3694642207627,-3.20677552510107,2.26831841552696,0.0431671879541895,0.620806113939821,-3.77395241655208
"C2orf64",2.24151836004922,-3.68526287779794,2.27267108091626,0.0428322857161642,0.620796514591516,-3.77468667676503
"JAK3",-1.34078668138226,-3.35861326745623,-2.25174282344188,0.0444655786958073,0.627700745204158,-3.77520454275079
"ENOX1",2.14088820658532,-3.08621032145119,2.26887981217321,0.0431238529580124,0.620806113939821,-3.77525443759255
"UTP3",-0.819984387242415,-1.63789033364073,-2.44491080396043,0.0314102945295447,0.553888768019582,-3.7760792506482
"C8orf37",-1.62918332762274,-5.34475061195347,-2.32154547970015,0.0392384627130875,0.603978183304578,-3.77678408900603
"ANKRD35",1.88711502607393,-3.53722345407686,2.26685503533435,0.0432803439274938,0.621263100954393,-3.77742227676726
"HABP4",-0.904288584304342,0.0453351135572994,-2.54719296596241,0.0260875706219271,0.512838637214352,-3.77867116090272
"GMNN",1.62292937020949,-4.03771378114167,2.24623109766134,0.0449055136801731,0.628917897639857,-3.77877588494793
"LOC400099",0.800303476519112,-0.888400082834384,2.44620040523059,0.0313370368459663,0.55367983973561,-3.78008608870387
"LOC100289309",0.58976487507156,0.773735714813006,2.57999748813665,0.0245748509089442,0.500883313114622,-3.78378808821027
"DEPDC6",-2.02713904809345,-4.01501737442493,-2.24805463616896,0.0447595051296401,0.628917897639857,-3.78446911947568
"C1orf212",0.990146942111227,-2.28036437926526,2.34660562686398,0.037509738399645,0.592568778460932,-3.7852128433271
"DCHS2",1.54651912673425,-4.45131009587471,2.25254323816832,0.0444020339577167,0.627632169300244,-3.78595659430525
"RAD51AP1",1.49147647147613,-5.55711972853696,2.31656022437784,0.0395913657616224,0.606720740225938,-3.78896322295523
"DCLRE1C",1.4507898969867,-1.74161479107586,2.38330829207906,0.0351094885431768,0.575606118606838,-3.79008095986193
"NIPAL4",-1.26862857217996,-1.8090983668832,-2.38228096034775,0.0351746126064973,0.575606118606838,-3.79373222180936
"C7orf29",2.47028441155584,-5.45454352947988,2.28275565369382,0.0420658743602545,0.618553393598792,-3.79404889345743
"CKM",-2.45806245815421,-4.1356416128626,-2.26386647525895,0.0435123151025455,0.62248978329936,-3.79478053355365
"USP17L4",1.59145392156342,-6.290629839696,2.30120915778904,0.0406972760798703,0.609588867642627,-3.79732779777299
"HIST1H4E",0.840750524143317,-0.0478485464189812,2.51522853850296,0.0276488442428198,0.520631727226615,-3.79885505629991
"LOC100288975",2.06684872239234,-4.063613755275,2.24563715493231,0.044953167905972,0.628917897639857,-3.79887266426696
"HIP1R",-1.04284533814518,-0.0010883699421358,-2.53899871344318,0.0264794113070345,0.5135195849598,-3.79888576262551
"ACOT9",-1.91162842837028,-2.79694706455328,-2.25530397785642,0.0441835234085975,0.626541354851216,-3.79950962274312
"TMEM55A",1.3363748219432,-2.60325277738718,2.28109327841477,0.0421913032467619,0.618815889727037,-3.8004289835726
"CSF2RB",-1.87085435605467,-1.17591740085133,-2.51753533206939,0.0275331852745897,0.520631727226615,-3.80070972112829
"PLEKHA1",1.97208381940141,-4.30740438718861,2.24412878145421,0.0450744070343826,0.629911069542367,-3.80101563293681
"TRIM74",-1.50304141288334,-6.59456099250855,-2.315350691741,0.0396774456719129,0.607297460586403,-3.80126664005948
"SEC14L4",-1.40197130473949,-6.68345590809023,-2.32765328438423,0.0388102089302663,0.600994903082585,-3.80249230007817
