,V1,V2
14053,DB00843,DB08980
14054,DB09216,DB00843
14055,DB00843,DB11960
14056,DB00843,DB13725
14057,DB00843,DB00381
14058,DB00501,DB00843
14059,DB00482,DB00843
14060,DB00608,DB00843
14061,DB00843,DB01079
14062,DB00843,DB11586
14063,DB00843,DB15982
14064,DB00843,DB01218
14065,DB00182,DB00843
14066,DB00323,DB00843
14067,DB00327,DB00843
14068,DB00341,DB00843
14069,DB00843,DB00614
14070,DB00843,DB00652
14071,DB00843,DB00754
14072,DB00909,DB00843
14073,DB00843,DB00985
14074,DB00843,DB00998
14075,DB00843,DB01037
14076,DB00843,DB01065
14077,DB01168,DB00843
14078,DB00843,DB01176
14079,DB01215,DB00843
14080,DB01367,DB00843
14081,DB00843,DB01442
14082,DB00843,DB01534
14083,DB00843,DB01588
14084,DB00843,DB04872
14085,DB00843,DB05246
14086,DB05541,DB00843
14087,DB00843,DB06579
14088,DB08059,DB00843
14089,DB00843,DB08329
14090,DB08910,DB00843
14091,DB00843,DB09011
14092,DB09071,DB00843
14093,DB09185,DB00843
14094,DB00843,DB11428
14095,DB00843,DB12308
14096,DB00843,DB13256
14097,DB00843,DB13520
14098,DB00843,DB13791
14099,DB00843,DB13841
14100,DB00843,DB13984
14101,DB14185,DB00843
14102,DB00843,DB14715
14103,DB00843,DB08815
14104,DB00564,DB00843
14105,DB00843,DB00802
14106,DB00813,DB00843
14107,DB01267,DB00843
14108,DB00843,DB00344
14109,DB00454,DB00843
14110,DB00843,DB00532
14111,DB00843,DB12930
14112,DB00843,DB01138
14113,DB00843,DB00625
14114,DB09091,DB00843
14115,DB00843,DB00180
14116,DB08970,DB00843
14117,DB14539,DB00843
14118,DB00843,DB14541
14119,DB14545,DB00843
14120,DB00843,DB14652
14121,DB01234,DB00843
14122,DB00843,DB00741
14123,DB00959,DB00843
14124,DB01047,DB00843
14125,DB00547,DB00843
14126,DB08971,DB00843
14127,DB09095,DB00843
14128,DB00795,DB00843
14129,DB12500,DB00843
14130,DB00201,DB00843
14131,DB12010,DB00843
14132,DB08881,DB00843
14133,DB11633,DB00843
14134,DB00213,DB00843
14135,DB00448,DB00843
14136,DB01254,DB00843
14137,DB11581,DB00843
14138,DB11817,DB00843
14139,DB11995,DB00843
14140,DB12026,DB00843
14141,DB12070,DB00843
14142,DB13879,DB00843
14143,DB13952,DB00843
14144,DB15822,DB00843
14145,DB00655,DB00843
14146,DB00845,DB00843
14147,DB00843,DB01590
14148,DB08864,DB00843
14149,DB00598,DB00843
14150,DB01611,DB00843
14151,DB00843,DB11638
14152,DB00780,DB00843
14153,DB00843,DB00627
14154,DB00843,DB01255
14155,DB00358,DB00843
14156,DB00843,DB00570
14157,DB00843,DB06287
14158,DB00843,DB11837
14159,DB09053,DB00843
14160,DB00843,DB00836
14161,DB00843,DB01184
14162,DB13874,DB00843
14163,DB08901,DB00843
14164,DB00214,DB00843
14165,DB00668,DB00843
14166,DB00843,DB01095
14167,DB00843,DB01411
14168,DB01645,DB00843
14169,DB04574,DB00843
14170,DB00843,DB06268
14171,DB00843,DB06413
14172,DB00843,DB13919
14173,DB00461,DB00843
14174,DB00749,DB00843
14175,DB09213,DB00843
14176,DB00814,DB00843
14177,DB01357,DB00843
14178,DB01424,DB00843
14179,DB14055,DB00843
14180,DB00328,DB00843
14181,DB00495,DB00843
14182,DB00586,DB00843
14183,DB00624,DB00843
14184,DB00945,DB00843
14185,DB01050,DB00843
14186,DB00843,DB06605
14187,DB13943,DB00843
14188,DB00843,DB11689
14189,DB00843,DB00675
14190,DB01418,DB00843
14191,DB09061,DB00843
14192,DB00843,DB12015
14193,DB00843,DB00241
14194,DB00843,DB00334
14195,DB00418,DB00843
14196,DB00843,DB00777
14197,DB00915,DB00843
14198,DB01036,DB00843
14199,DB00843,DB01116
14200,DB01148,DB00843
14201,DB01238,DB00843
14202,DB00843,DB13254
14203,DB00843,DB13738
14204,DB00843,DB13844
14205,DB00312,DB00843
14206,DB00458,DB00843
14207,DB00843,DB00184
14208,DB00843,DB11986
14209,DB00843,DB04855
14210,DB00845,DB06616
14211,DB00845,DB09075
14212,DB00845,DB09053
14213,DB00845,DB01590
14214,DB00845,DB00813
14215,DB00845,DB08895
14216,DB00845,DB00862
14217,DB00845,DB01418
14218,DB00845,DB14055
14219,DB00845,DB00864
14220,DB00845,DB00625
14221,DB00845,DB00836
14222,DB00845,DB00985
14223,DB00845,DB01137
14224,DB00845,DB06200
14225,DB00845,DB08980
14226,DB00845,DB13791
14227,DB00845,DB00215
14228,DB00845,DB01169
14229,DB00845,DB13725
14230,DB08881,DB00845
14231,DB00845,DB00158
14232,DB00845,DB00437
14233,DB00845,DB00482
14234,DB00845,DB00495
14235,DB00795,DB00845
14236,DB00845,DB00843
14237,DB00845,DB01079
14238,DB00845,DB08931
14239,DB12026,DB00845
14240,DB13879,DB00845
14241,DB00845,DB00742
14242,DB00845,DB01261
14243,DB11995,DB00845
14244,DB12500,DB00845
14245,DB00845,DB01238
14246,DB00845,DB14185
14247,DB00845,DB06695
14248,DB00845,DB00334
14249,DB00845,DB00341
14250,DB00845,DB00344
14251,DB00845,DB00358
14252,DB00845,DB00915
14253,DB00845,DB01036
14254,DB00845,DB01176
14255,DB00845,DB01611
14256,DB00845,DB05246
14257,DB00845,DB08815
14258,DB08864,DB00845
14259,DB00845,DB08871
14260,DB00845,DB11443
14261,DB00845,DB11448
14262,DB00845,DB12766
14263,DB00845,DB13772
14264,DB00845,DB00458
14265,DB00845,DB00970
14266,DB00845,DB11967
14267,DB00845,DB13275
14268,DB00845,DB01411
14269,DB00845,DB09071
14270,DB00845,DB01395
14271,DB00845,DB15444
14272,DB00845,DB09079
14273,DB00845,DB11952
14274,DB00845,DB00454
14275,DB11633,DB00845
14276,DB00845,DB00570
14277,DB00845,DB00675
14278,DB00845,DB00204
14279,DB00845,DB01223
14280,DB01254,DB00845
14281,DB00845,DB04855
14282,DB00845,DB05239
14283,DB00845,DB09054
14284,DB00564,DB00845
14285,DB00845,DB00877
14286,DB00845,DB01229
14287,DB00845,DB06287
14288,DB00845,DB01248
14289,DB00845,DB04572
14290,DB11581,DB00845
14291,DB13874,DB00845
14292,DB00845,DB15035
14293,DB00845,DB08877
14294,DB08901,DB00845
14295,DB00845,DB12483
14296,DB00845,DB00762
14297,DB00845,DB08910
14298,DB11817,DB00845
14299,DB00845,DB00199
14300,DB00845,DB00333
14301,DB00845,DB00608
14302,DB00845,DB00624
14303,DB00845,DB00741
14304,DB00845,DB00802
14305,DB00845,DB00909
14306,DB00921,DB00845
14307,DB00845,DB00938
14308,DB00845,DB01095
14309,DB00845,DB01184
14310,DB00845,DB01218
14311,DB01234,DB00845
14312,DB00845,DB01267
14313,DB00845,DB06335
14314,DB00845,DB06605
14315,DB00845,DB08820
14316,DB00845,DB08883
14317,DB09061,DB00845
14318,DB00845,DB11586
14319,DB00845,DB11689
14320,DB00845,DB13943
14321,DB13952,DB00845
14322,DB00845,DB14539
14323,DB00845,DB14541
14324,DB00655,DB00845
14325,DB00845,DB12015
14326,DB00845,DB11986
14327,DB00845,DB12612
14328,DB15822,DB00845
14329,DB00845,DB15982
14330,DB00851,DB00180
14331,DB00328,DB00851
14332,DB00851,DB00428
14333,DB00851,DB00495
14334,DB00851,DB00552
14335,DB00564,DB00851
14336,DB00851,DB00570
14337,DB00851,DB00762
14338,DB00795,DB00851
14339,DB00851,DB00853
14340,DB00851,DB00877
14341,DB00851,DB00888
14342,DB00851,DB00959
14343,DB00851,DB00970
14344,DB00851,DB01041
14345,DB00851,DB01168
14346,DB00851,DB01169
14347,DB00851,DB01229
14348,DB01234,DB00851
14349,DB00851,DB01248
14350,DB01254,DB00851
14351,DB00851,DB01590
14352,DB00851,DB01611
14353,DB00851,DB04572
14354,DB00851,DB05260
14355,DB00851,DB06287
14356,DB00851,DB06616
14357,DB00851,DB08059
14358,DB00851,DB08871
14359,DB00851,DB08877
14360,DB08901,DB00851
14361,DB00851,DB08908
14362,DB00851,DB08910
14363,DB00851,DB08970
14364,DB00851,DB09053
14365,DB00851,DB09054
14366,DB00851,DB09091
14367,DB11466,DB00851
14368,DB00851,DB11708
14369,DB11817,DB00851
14370,DB00851,DB12612
14371,DB00851,DB12996
14372,DB00851,DB14539
14373,DB00851,DB14545
14374,DB00851,DB01047
14375,DB00851,DB00547
14376,DB00851,DB08971
14377,DB00851,DB09095
14378,DB00851,DB00337
14379,DB00851,DB01609
14380,DB00851,DB08895
14381,DB00864,DB00851
14382,DB00851,DB01138
14383,DB00851,DB05767
14384,DB00851,DB07615
14385,DB00851,DB08814
14386,DB08881,DB00851
14387,DB00244,DB00851
14388,DB00282,DB00851
14389,DB00456,DB00851
14390,DB00461,DB00851
14391,DB00482,DB00851
14392,DB00586,DB00851
14393,DB00742,DB00851
14394,DB00749,DB00851
14395,DB00814,DB00851
14396,DB00923,DB00851
14397,DB00945,DB00851
14398,DB01050,DB00851
14399,DB01250,DB00851
14400,DB01329,DB00851
14401,DB01331,DB00851
14402,DB01399,DB00851
14403,DB01424,DB00851
14404,DB01600,DB00851
14405,DB04743,DB00851
14406,DB06736,DB00851
14407,DB07402,DB00851
14408,DB08991,DB00851
14409,DB09213,DB00851
14410,DB09216,DB00851
14411,DB13286,DB00851
14412,DB13470,DB00851
14413,DB13499,DB00851
14414,DB13638,DB00851
14415,DB09212,DB00851
14416,DB11512,DB00851
14417,DB00851,DB00158
14418,DB00182,DB00851
14419,DB00213,DB00851
14420,DB00312,DB00851
14421,DB00319,DB00851
14422,DB00323,DB00851
14423,DB00327,DB00851
14424,DB00333,DB00851
14425,DB00341,DB00851
14426,DB00415,DB00851
14427,DB00598,DB00851
14428,DB00608,DB00851
14429,DB00624,DB00851
14430,DB00775,DB00851
14431,DB00780,DB00851
14432,DB00790,DB00851
14433,DB00800,DB00851
14434,DB00851,DB00915
14435,DB00851,DB00995
14436,DB00851,DB01011
14437,DB00851,DB01036
14438,DB00851,DB01105
14439,DB00851,DB01148
14440,DB00851,DB01183
14441,DB00851,DB01215
14442,DB00851,DB01261
14443,DB00851,DB01267
14444,DB00851,DB01427
14445,DB00851,DB04896
14446,DB00851,DB05541
14447,DB00851,DB06335
14448,DB00851,DB06695
14449,DB00851,DB06824
14450,DB00851,DB08911
14451,DB00851,DB09075
14452,DB00851,DB09104
14453,DB00851,DB09135
14454,DB00851,DB09395
14455,DB00851,DB09418
14456,DB00851,DB09502
14457,DB00851,DB11587
14458,DB00851,DB13943
14459,DB00851,DB00813
14460,DB00851,DB06696
14461,DB00851,DB00314
14462,DB00851,DB09125
14463,DB00851,DB00606
14464,DB00851,DB00774
14465,DB00851,DB00909
14466,DB00851,DB00214
14467,DB00851,DB00310
14468,DB00851,DB00703
14469,DB00851,DB01395
14470,DB00851,DB09401
14471,DB00851,DB12766
14472,DB00851,DB13663
14473,DB00851,DB14500
14474,DB00851,DB00184
14475,DB00296,DB00851
14476,DB00851,DB00334
14477,DB00851,DB00532
14478,DB00851,DB00898
14479,DB00851,DB00998
14480,DB00851,DB01065
14481,DB00851,DB01184
14482,DB00851,DB01367
14483,DB00851,DB08883
14484,DB00851,DB09071
14485,DB00851,DB11919
14486,DB00851,DB11967
14487,DB12026,DB00851
14488,DB00851,DB13592
14489,DB00851,DB11689
14490,DB00655,DB00851
14491,DB00418,DB00851
14492,DB00851,DB06413
14493,DB00851,DB06774
14494,DB00851,DB00454
14495,DB00851,DB09185
14496,DB00851,DB00215
14497,DB01645,DB00851
14498,DB00501,DB00851
14499,DB00201,DB00851
14500,DB00851,DB00625
14501,DB00851,DB01037
14502,DB00851,DB01079
14503,DB00851,DB01137
14504,DB00851,DB02709
14505,DB00851,DB04574
14506,DB00851,DB11443
14507,DB00851,DB13772
14508,DB13874,DB00851
14509,DB13952,DB00851
14510,DB09061,DB00851
14511,DB00851,DB00458
14512,DB00851,DB01223
14513,DB00851,DB01418
14514,DB00851,DB00675
14515,DB00851,DB06543
14516,DB00851,DB06605
14517,DB00851,DB12289
14518,DB00851,DB12598
14519,DB00851,DB13275
14520,DB00851,DB14055
14521,DB00851,DB14094
14522,DB00437,DB00851
14523,DB00851,DB11837
14524,DB00851,DB14845
14525,DB00214,DB00852
14526,DB00275,DB00852
14527,DB00310,DB00852
14528,DB00381,DB00852
14529,DB00606,DB00852
14530,DB00774,DB00852
14531,DB00790,DB00852
14532,DB00800,DB00852
14533,DB01116,DB00852
14534,DB06268,DB00852
14535,DB08931,DB00852
14536,DB12766,DB00852
14537,DB13631,DB00852
14538,DB13779,DB00852
14539,DB13919,DB00852
14540,DB14094,DB00852
14541,DB14217,DB00852
14542,DB00244,DB00852
14543,DB00328,DB00852
14544,DB00461,DB00852
14545,DB00482,DB00852
14546,DB00586,DB00852
14547,DB00749,DB00852
14548,DB00795,DB00852
14549,DB00814,DB00852
14550,DB00938,DB00852
14551,DB00945,DB00852
14552,DB01250,DB00852
14553,DB01399,DB00852
14554,DB01424,DB00852
14555,DB01600,DB00852
14556,DB02224,DB00852
14557,DB04743,DB00852
14558,DB06736,DB00852
14559,DB07402,DB00852
14560,DB08991,DB00852
14561,DB09213,DB00852
14562,DB09216,DB00852
14563,DB00852,DB11428
14564,DB11466,DB00852
14565,DB11587,DB00852
14566,DB12100,DB00852
14567,DB13286,DB00852
14568,DB09212,DB00852
14569,DB00813,DB00852
14570,DB00327,DB00852
14571,DB00333,DB00852
14572,DB00852,DB00652
14573,DB00852,DB00802
14574,DB00921,DB00852
14575,DB00501,DB00852
14576,DB00985,DB00852
14577,DB01176,DB00852
14578,DB00334,DB00852
14579,DB00458,DB00852
14580,DB00777,DB00852
14581,DB01238,DB00852
14582,DB14185,DB00852
14583,DB00201,DB00852
14584,DB01223,DB00852
14585,DB11919,DB00852
14586,DB13592,DB00852
14587,DB00852,DB13520
14588,DB01261,DB00852
14589,DB06335,DB00852
14590,DB09022,DB00852
14591,DB09200,DB00852
14592,DB04872,DB00852
14593,DB13256,DB00852
14594,DB13791,DB00852
14595,DB13841,DB00852
14596,DB00830,DB00852
14597,DB01064,DB00852
14598,DB01407,DB00852
14599,DB06152,DB00852
14600,DB00703,DB00852
14601,DB00909,DB00852
14602,DB00182,DB00852
14603,DB00852,DB00614
14604,DB00780,DB00852
14605,DB01168,DB00852
14606,DB01367,DB00852
14607,DB00852,DB06723
14608,DB09104,DB00852
14609,DB00852,DB01037
14610,DB00852,DB04272
14611,DB09125,DB00852
14612,DB00852,DB00215
14613,DB00564,DB00852
14614,DB00915,DB00852
14615,DB00852,DB00998
14616,DB00852,DB01079
14617,DB01105,DB00852
14618,DB00852,DB01255
14619,DB00852,DB01442
14620,DB04896,DB00852
14621,DB09061,DB00852
14622,DB00852,DB01104
14623,DB00668,DB00852
14624,DB00852,DB00184
14625,DB01036,DB00852
14626,DB01148,DB00852
14627,DB13254,DB00852
14628,DB13738,DB00852
14629,DB13844,DB00852
14630,DB00852,DB06413
14631,DB00598,DB00852
14632,DB01267,DB00852
14633,DB04855,DB00852
14634,DB00852,DB08807
14635,DB00852,DB08815
14636,DB00852,DB13757
14637,DB00852,DB00344
14638,DB00852,DB12930
14639,DB00852,DB00451
14640,DB00852,DB01583
14641,DB00852,DB03374
14642,DB09418,DB00852
14643,DB00454,DB00852
14644,DB00853,DB00180
14645,DB00328,DB00853
14646,DB00853,DB00428
14647,DB00853,DB00495
14648,DB00853,DB00552
14649,DB00853,DB00570
14650,DB00853,DB00762
14651,DB00795,DB00853
14652,DB00851,DB00853
14653,DB00853,DB00888
14654,DB00853,DB00959
14655,DB00853,DB00970
14656,DB00853,DB01041
14657,DB00853,DB01168
14658,DB00853,DB01169
14659,DB01234,DB00853
14660,DB00853,DB01248
14661,DB00853,DB01611
14662,DB00853,DB04572
14663,DB00853,DB05260
14664,DB00853,DB06616
14665,DB00853,DB08059
14666,DB00853,DB08871
14667,DB00853,DB08877
14668,DB08901,DB00853
14669,DB00853,DB08908
14670,DB00853,DB08910
14671,DB00853,DB08970
14672,DB00853,DB09054
14673,DB00853,DB09091
14674,DB11466,DB00853
14675,DB00853,DB11708
14676,DB11817,DB00853
14677,DB00853,DB12612
14678,DB00853,DB12996
14679,DB00853,DB14539
14680,DB00853,DB14545
14681,DB00564,DB00853
14682,DB00853,DB00877
14683,DB00853,DB01229
14684,DB01254,DB00853
14685,DB00853,DB01590
14686,DB00853,DB06287
14687,DB00853,DB09053
14688,DB00853,DB01047
14689,DB00853,DB00547
14690,DB00853,DB08971
14691,DB00853,DB09095
14692,DB00853,DB00337
14693,DB00853,DB08895
14694,DB00864,DB00853
14695,DB00853,DB02709
14696,DB00853,DB05767
14697,DB00853,DB08814
14698,DB00853,DB01138
14699,DB00853,DB07615
14700,DB00244,DB00853
14701,DB00282,DB00853
14702,DB00456,DB00853
14703,DB00461,DB00853
14704,DB00482,DB00853
14705,DB00586,DB00853
14706,DB00742,DB00853
14707,DB00749,DB00853
14708,DB00814,DB00853
14709,DB00923,DB00853
14710,DB00945,DB00853
14711,DB01050,DB00853
14712,DB01250,DB00853
14713,DB01329,DB00853
14714,DB01331,DB00853
14715,DB01399,DB00853
14716,DB01424,DB00853
14717,DB01600,DB00853
14718,DB04743,DB00853
14719,DB06736,DB00853
14720,DB07402,DB00853
14721,DB08991,DB00853
14722,DB09213,DB00853
14723,DB09216,DB00853
14724,DB13286,DB00853
14725,DB13470,DB00853
14726,DB13499,DB00853
14727,DB13638,DB00853
14728,DB09212,DB00853
14729,DB11512,DB00853
14730,DB00853,DB00158
14731,DB00182,DB00853
14732,DB00213,DB00853
14733,DB00296,DB00853
14734,DB00312,DB00853
14735,DB00319,DB00853
14736,DB00323,DB00853
14737,DB00327,DB00853
14738,DB00333,DB00853
14739,DB00341,DB00853
14740,DB00415,DB00853
14741,DB00418,DB00853
14742,DB00598,DB00853
14743,DB00608,DB00853
14744,DB00624,DB00853
14745,DB00775,DB00853
14746,DB00780,DB00853
14747,DB00790,DB00853
14748,DB00800,DB00853
14749,DB00853,DB00915
14750,DB00853,DB00995
14751,DB00853,DB01011
14752,DB00853,DB01036
14753,DB00853,DB01105
14754,DB00853,DB01137
14755,DB00853,DB01148
14756,DB00853,DB01183
14757,DB00853,DB01215
14758,DB00853,DB01261
14759,DB00853,DB01267
14760,DB00853,DB01367
14761,DB00853,DB01427
14762,DB00853,DB05541
14763,DB00853,DB06335
14764,DB00853,DB06695
14765,DB00853,DB06824
14766,DB00853,DB08911
14767,DB00853,DB09071
14768,DB00853,DB09075
14769,DB00853,DB09104
14770,DB00853,DB09135
14771,DB00853,DB09185
14772,DB00853,DB09395
14773,DB00853,DB09418
14774,DB00853,DB09502
14775,DB00853,DB11587
14776,DB00853,DB13943
14777,DB13952,DB00853
14778,DB00853,DB04574
14779,DB00853,DB04896
14780,DB00501,DB00853
14781,DB00853,DB00458
14782,DB00853,DB00454
14783,DB00853,DB00813
14784,DB00853,DB06696
14785,DB00853,DB00314
14786,DB00853,DB09125
14787,DB00853,DB00606
14788,DB00853,DB00774
14789,DB00853,DB00909
14790,DB00853,DB00214
14791,DB00853,DB00310
14792,DB00853,DB00703
14793,DB00853,DB12766
14794,DB00853,DB13663
14795,DB00853,DB14500
14796,DB00853,DB01395
14797,DB00853,DB09401
14798,DB00853,DB06543
14799,DB00853,DB12289
14800,DB00853,DB12598
14801,DB00853,DB14094
14802,DB00853,DB01418
14803,DB00853,DB06605
14804,DB00853,DB13275
14805,DB00853,DB14055
14806,DB00437,DB00853
14807,DB06616,DB00862
14808,DB09075,DB00862
14809,DB00770,DB00862
14810,DB08931,DB00862
14811,DB01590,DB00862
14812,DB11633,DB00862
14813,DB00215,DB00862
14814,DB00333,DB00862
14815,DB00358,DB00862
14816,DB00448,DB00862
14817,DB00501,DB00862
14818,DB00570,DB00862
14819,DB00625,DB00862
14820,DB00668,DB00862
14821,DB00675,DB00862
14822,DB00780,DB00862
14823,DB00836,DB00862
14824,DB00845,DB00862
14825,DB00864,DB00862
14826,DB00898,DB00862
14827,DB00921,DB00862
14828,DB01011,DB00862
14829,DB01095,DB00862
14830,DB01183,DB00862
14831,DB01234,DB00862
14832,DB01248,DB00862
14833,DB01254,DB00862
14834,DB01406,DB00862
14835,DB02709,DB00862
14836,DB04855,DB00862
14837,DB04896,DB00862
14838,DB06233,DB00862
14839,DB06268,DB00862
14840,DB06774,DB00862
14841,DB08820,DB00862
14842,DB08864,DB00862
14843,DB09054,DB00862
14844,DB11554,DB00862
14845,DB11581,DB00862
14846,DB11779,DB00862
14847,DB12010,DB00862
14848,DB12015,DB00862
14849,DB12070,DB00862
14850,DB13874,DB00862
14851,DB13943,DB00862
14852,DB11837,DB00862
14853,DB15822,DB00862
14854,DB00214,DB00862
14855,DB00275,DB00862
14856,DB00310,DB00862
14857,DB00606,DB00862
14858,DB00774,DB00862
14859,DB00790,DB00862
14860,DB00800,DB00862
14861,DB01116,DB00862
14862,DB13631,DB00862
14863,DB13757,DB00862
14864,DB13779,DB00862
14865,DB13919,DB00862
14866,DB14094,DB00862
14867,DB14217,DB00862
14868,DB00381,DB00862
14869,DB09401,DB00862
14870,DB00598,DB00862
14871,DB00777,DB00862
14872,DB00985,DB00862
14873,DB06200,DB00862
14874,DB08980,DB00862
14875,DB13791,DB00862
14876,DB00608,DB00862
14877,DB01137,DB00862
14878,DB01169,DB00862
14879,DB01218,DB00862
14880,DB00204,DB00862
14881,DB13725,DB00862
14882,DB01184,DB00862
14883,DB08881,DB00862
14884,DB00742,DB00862
14885,DB01079,DB00862
14886,DB11995,DB00862
14887,DB00909,DB00862
14888,DB11586,DB00862
14889,DB09079,DB00862
14890,DB11952,DB00862
14891,DB13879,DB00862
14892,DB11689,DB00862
14893,DB06695,DB00862
14894,DB12766,DB00862
14895,DB00915,DB00862
14896,DB01176,DB00862
14897,DB05246,DB00862
14898,DB08871,DB00862
14899,DB11443,DB00862
14900,DB11448,DB00862
14901,DB13772,DB00862
14902,DB00938,DB00862
14903,DB01238,DB00862
14904,DB14185,DB00862
14905,DB01036,DB00862
14906,DB08815,DB00862
14907,DB00334,DB00862
14908,DB00341,DB00862
14909,DB00344,DB00862
14910,DB01611,DB00862
14911,DB00877,DB00862
14912,DB06287,DB00862
14913,DB00970,DB00862
14914,DB08910,DB00862
14915,DB12483,DB00862
14916,DB05239,DB00862
14917,DB00458,DB00862
14918,DB11967,DB00862
14919,DB09061,DB00862
14920,DB01041,DB00862
14921,DB06413,DB00862
14922,DB08970,DB00862
14923,DB14652,DB00862
14924,DB01047,DB00862
14925,DB08971,DB00862
14926,DB09095,DB00862
14927,DB06335,DB00862
14928,DB09053,DB00862
14929,DB14541,DB00862
14930,DB08883,DB00862
14931,DB14539,DB00862
14932,DB15444,DB00862
14933,DB00624,DB00862
14934,DB00741,DB00862
14935,DB00762,DB00862
14936,DB13952,DB00862
14937,DB00802,DB00862
14938,DB00813,DB00862
14939,DB00655,DB00862
14940,DB00564,DB00862
14941,DB01229,DB00862
14942,DB08901,DB00862
14943,DB01261,DB00862
14944,DB01267,DB00862
14945,DB06605,DB00862
14946,DB11817,DB00862
14947,DB12026,DB00862
14948,DB12500,DB00862
14949,DB00199,DB00862
14950,DB11986,DB00862
14951,DB00296,DB00862
14952,DB00323,DB00862
14953,DB00703,DB00862
14954,DB01037,DB00862
14955,DB01367,DB00862
14956,DB15982,DB00862
14957,DB00864,DB06413
14958,DB00864,DB06616
14959,DB00864,DB09075
14960,DB00864,DB09053
14961,DB00864,DB00813
14962,DB00864,DB08895
14963,DB00864,DB00862
14964,DB00742,DB00864
14965,DB00864,DB01418
14966,DB00864,DB14055
14967,DB00864,DB04855
14968,DB00864,DB00199
14969,DB00864,DB00215
14970,DB00864,DB00333
14971,DB00864,DB00358
14972,DB00864,DB00501
14973,DB00864,DB00570
14974,DB00864,DB00625
14975,DB00864,DB00668
14976,DB00864,DB00675
14977,DB00864,DB00780
14978,DB00864,DB00836
14979,DB00845,DB00864
14980,DB00921,DB00864
14981,DB00864,DB01011
14982,DB00864,DB01095
14983,DB00864,DB01183
14984,DB01234,DB00864
14985,DB00864,DB01248
14986,DB01254,DB00864
14987,DB00864,DB01406
14988,DB00864,DB02709
14989,DB00864,DB04896
14990,DB00864,DB06233
14991,DB00864,DB06268
14992,DB00864,DB06774
14993,DB00864,DB08820
14994,DB08864,DB00864
14995,DB00864,DB09054
14996,DB00864,DB11554
14997,DB11581,DB00864
14998,DB00864,DB11779
14999,DB12010,DB00864
15000,DB00864,DB12015
15001,DB12070,DB00864
15002,DB13874,DB00864
15003,DB00864,DB13943
15004,DB00864,DB11837
15005,DB15822,DB00864
15006,DB00864,DB01041
15007,DB00864,DB01590
15008,DB00864,DB04572
15009,DB00864,DB08910
15010,DB00864,DB00428
15011,DB00864,DB00552
15012,DB00864,DB00741
15013,DB00864,DB00762
15014,DB00864,DB00851
15015,DB00864,DB00853
15016,DB00864,DB00888
15017,DB00864,DB00959
15018,DB00864,DB00970
15019,DB00864,DB01168
15020,DB00864,DB01229
15021,DB00864,DB08877
15022,DB00864,DB00337
15023,DB00864,DB05260
15024,DB00864,DB08908
15025,DB00864,DB12996
15026,DB00864,DB08059
15027,DB00864,DB00495
15028,DB00564,DB00864
15029,DB00864,DB08871
15030,DB08901,DB00864
15031,DB00864,DB01611
15032,DB00864,DB00180
15033,DB00864,DB00547
15034,DB00864,DB09095
15035,DB00864,DB01047
15036,DB00864,DB08971
15037,DB00864,DB08970
15038,DB00864,DB14539
15039,DB00864,DB14545
15040,DB00864,DB09091
15041,DB11817,DB00864
15042,DB00864,DB12612
15043,DB00864,DB11708
15044,DB00864,DB01169
15045,DB00244,DB00864
15046,DB00328,DB00864
15047,DB00461,DB00864
15048,DB00482,DB00864
15049,DB00586,DB00864
15050,DB00749,DB00864
15051,DB00795,DB00864
15052,DB00814,DB00864
15053,DB00864,DB00945
15054,DB00864,DB01050
15055,DB00864,DB01250
15056,DB00864,DB01399
15057,DB00864,DB01424
15058,DB00864,DB01600
15059,DB00864,DB02224
15060,DB00864,DB04743
15061,DB00864,DB06736
15062,DB00864,DB07402
15063,DB00864,DB08991
15064,DB00864,DB09213
15065,DB00864,DB09216
15066,DB00864,DB11466
15067,DB00864,DB13286
15068,DB00864,DB09212
15069,DB00213,DB00864
15070,DB00456,DB00864
15071,DB00864,DB00923
15072,DB00864,DB01331
15073,DB00864,DB13470
15074,DB00864,DB13499
15075,DB00864,DB13638
15076,DB00864,DB01329
15077,DB00864,DB11512
15078,DB00864,DB00898
15079,DB00864,DB00877
15080,DB00864,DB06287
15081,DB00864,DB09022
15082,DB00864,DB09200
15083,DB00864,DB00985
15084,DB00864,DB06200
15085,DB00864,DB00275
15086,DB00864,DB08807
15087,DB00864,DB13757
15088,DB00864,DB14217
15089,DB00864,DB13919
15090,DB00864,DB05767
15091,DB00864,DB08814
15092,DB08881,DB00864
15093,DB11633,DB00864
15094,DB00864,DB01079
15095,DB11995,DB00864
15096,DB00864,DB01261
15097,DB12026,DB00864
15098,DB12500,DB00864
15099,DB00864,DB01238
15100,DB00864,DB14185
15101,DB00282,DB00864
15102,DB00864,DB06255
15103,DB00864,DB06695
15104,DB00864,DB01176
15105,DB00864,DB11443
15106,DB00864,DB11448
15107,DB00864,DB12766
15108,DB00864,DB13772
15109,DB00864,DB00334
15110,DB00864,DB00344
15111,DB00864,DB08815
15112,DB00864,DB00214
15113,DB00864,DB01583
15114,DB00864,DB00158
15115,DB00864,DB00182
15116,DB00864,DB00319
15117,DB00864,DB00323
15118,DB00864,DB00415
15119,DB00864,DB00598
15120,DB00864,DB00775
15121,DB00864,DB00790
15122,DB00864,DB00800
15123,DB00864,DB00915
15124,DB00864,DB00995
15125,DB00864,DB01148
15126,DB00864,DB01367
15127,DB00864,DB01427
15128,DB00864,DB06824
